Dates,Times,CheckoutDur,title
2006-02-25,15:28:00,16,"time travelers wife a novel"
2006-02-25,16:49:00,16,"time travelers wife a novel"
2006-02-25,10:05:00,18,"time travelers wife a novel"
2006-02-26,15:59:00,1,"time travelers wife a novel"
2006-02-26,15:59:00,15,"time travelers wife a novel"
2006-02-26,15:08:00,25,"time travelers wife"
2006-02-26,12:46:00,30,"time travelers wife a novel"
2006-02-26,12:46:00,32,"time travelers wife a novel"
2006-02-26,12:46:00,32,"time travelers wife a novel"
2006-02-27,18:19:00,9,"time travelers wife a novel"
2006-02-27,18:19:00,13,"time travelers wife a novel"
2006-02-27,19:12:00,14,"time travelers wife a novel"
2006-02-27,19:12:00,16,"time travelers wife a novel"
2006-02-27,19:12:00,20,"time travelers wife a novel"
2006-02-27,19:12:00,21,"time travelers wife a novel"
2006-02-27,16:30:00,22,"time travelers wife a novel"
2006-02-27,17:49:00,22,"time travelers wife a novel"
2006-02-27,16:30:00,37,"time travelers wife a novel"
2006-02-28,16:27:00,10,"time travelers wife a novel"
2006-02-28,16:27:00,17,"time travelers wife a novel"
2006-02-28,16:27:00,19,"time travelers wife a novel"
2006-02-28,17:38:00,28,"time travelers wife a novel"
2006-02-28,17:38:00,41,"time travelers wife a novel"
2006-02-28,17:38:00,47,"time travelers wife a novel"
2006-02-28,17:38:00,57,"time travelers wife a novel"
2006-03-01,17:29:00,32,"time travelers wife"
2006-03-02,17:09:00,21,"time travelers wife a novel"
2006-03-02,17:09:00,22,"time travelers wife a novel"
2006-03-02,17:09:00,24,"time travelers wife a novel"
2006-03-03,14:02:00,21,"time travelers wife"
2006-03-06,15:44:00,35,"time travelers wife a novel"
2006-03-06,15:44:00,36,"time travelers wife a novel"
2006-03-06,15:44:00,36,"time travelers wife a novel"
2006-03-06,16:59:00,41,"time travelers wife a novel"
2006-03-07,14:53:00,0,"time travelers wife"
2006-03-07,14:53:00,1,"time travelers wife"
2006-03-08,15:11:00,8,"time travelers wife"
2006-03-08,15:11:00,11,"time travelers wife"
2006-03-08,15:11:00,13,"time travelers wife"
2006-03-10,16:48:00,5,"time travelers wife"
2006-03-10,16:48:00,11,"time travelers wife"
2006-03-11,13:49:00,11,"time travelers wife a novel"
2006-03-11,12:01:00,21,"time travelers wife a novel"
2006-03-11,12:01:00,25,"time travelers wife a novel"
2006-03-11,16:36:00,26,"time travelers wife a novel"
2006-03-11,17:53:00,29,"time travelers wife a novel"
2006-03-11,12:00:00,32,"time travelers wife a novel"
2006-03-12,12:18:00,15,"time travelers wife a novel"
2006-03-12,12:18:00,15,"time travelers wife a novel"
2006-03-12,16:18:00,17,"time travelers wife"
2006-03-12,16:18:00,19,"time travelers wife"
2006-03-12,16:18:00,25,"time travelers wife"
2006-03-12,16:18:00,29,"time travelers wife"
2006-03-13,17:24:00,8,"time travelers wife a novel"
2006-03-13,17:24:00,9,"time travelers wife a novel"
2006-03-13,17:24:00,10,"time travelers wife a novel"
2006-03-13,16:43:00,24,"time travelers wife a novel"
2006-03-13,16:43:00,28,"time travelers wife a novel"
2006-03-13,18:18:00,30,"time travelers wife a novel"
2006-03-14,18:51:00,42,"time travelers wife a novel"
2006-03-14,18:51:00,42,"time travelers wife a novel"
2006-03-15,18:55:00,21,"time travelers wife a novel"
2006-03-15,18:55:00,53,"time travelers wife a novel"
2006-03-15,18:55:00,69,"time travelers wife a novel"
2006-03-15,18:55:00,70,"time travelers wife a novel"
2006-03-16,12:23:00,18,"time travelers wife a novel"
2006-03-16,12:23:00,21,"time travelers wife a novel"
2006-03-16,17:14:00,21,"time travelers wife a novel"
2006-03-16,17:14:00,29,"time travelers wife a novel"
2006-03-16,17:14:00,48,"time travelers wife a novel"
2006-03-17,13:10:00,12,"time travelers wife"
2006-03-17,15:13:00,17,"time travelers wife a novel"
2006-03-17,13:10:00,17,"time travelers wife"
2006-03-17,12:25:00,21,"time travelers wife a novel"
2006-03-17,12:25:00,25,"time travelers wife a novel"
2006-03-17,12:25:00,25,"time travelers wife a novel"
2006-03-17,17:19:00,46,"time travelers wife a novel"
2006-03-19,15:42:00,20,"time travelers wife a novel"
2006-03-19,15:42:00,25,"time travelers wife a novel"
2006-03-20,15:53:00,0,"time travelers wife"
2006-03-20,16:36:00,21,"time travelers wife a novel"
2006-03-20,16:36:00,32,"time travelers wife a novel"
2006-03-21,18:32:00,20,"time travelers wife a novel"
2006-03-21,18:32:00,45,"time travelers wife a novel"
2006-03-21,18:32:00,47,"time travelers wife a novel"
2006-03-22,13:22:00,0,"time travelers wife"
2006-03-22,13:22:00,0,"time travelers wife"
2006-03-24,15:21:00,31,"time travelers wife a novel"
2006-03-25,10:56:00,8,"time travelers wife"
2006-03-25,10:56:00,12,"time travelers wife"
2006-03-25,15:31:00,18,"time travelers wife"
2006-03-25,15:31:00,19,"time travelers wife"
2006-03-25,17:49:00,21,"time travelers wife"
2006-03-27,10:53:00,12,"time travelers wife a novel"
2006-03-28,14:45:00,14,"time travelers wife"
2006-03-29,12:03:00,25,"time travelers wife a novel"
2006-03-29,18:41:00,26,"time travelers wife a novel"
2006-04-02,16:01:00,19,"time travelers wife a novel"
2006-04-02,16:01:00,22,"time travelers wife a novel"
2006-04-03,15:37:00,0,"time travelers wife"
2006-04-03,15:37:00,4,"time travelers wife"
2006-04-03,15:36:00,7,"time travelers wife a novel"
2006-04-03,15:36:00,8,"time travelers wife a novel"
2006-04-03,11:23:00,87,"time travelers wife"
2006-04-03,11:23:00,89,"time travelers wife"
2006-04-03,11:23:00,91,"time travelers wife"
2006-04-04,11:53:00,0,"time travelers wife a novel"
2006-04-04,11:53:00,2,"time travelers wife a novel"
2006-04-04,18:45:00,8,"time travelers wife"
2006-04-04,18:45:00,9,"time travelers wife"
2006-04-04,17:27:00,22,"time travelers wife"
2006-04-04,17:27:00,23,"time travelers wife"
2006-04-04,17:27:00,27,"time travelers wife"
2006-04-06,15:33:00,3,"time travelers wife a novel"
2006-04-06,16:55:00,7,"time travelers wife a novel"
2006-04-06,17:59:00,18,"time travelers wife"
2006-04-06,17:59:00,19,"time travelers wife"
2006-04-06,15:13:00,23,"time travelers wife a novel"
2006-04-06,15:13:00,27,"time travelers wife a novel"
2006-04-06,16:55:00,59,"time travelers wife a novel"
2006-04-08,16:00:00,20,"time travelers wife a novel"
2006-04-08,16:00:00,24,"time travelers wife a novel"
2006-04-10,15:52:00,42,"time travelers wife a novel"
2006-04-10,15:52:00,44,"time travelers wife a novel"
2006-04-10,15:52:00,44,"time travelers wife a novel"
2006-04-11,18:40:00,17,"time travelers wife"
2006-04-11,12:27:00,43,"time travelers wife a novel"
2006-04-12,15:56:00,14,"time travelers wife a novel"
2006-04-12,15:50:00,15,"time travelers wife"
2006-04-12,15:50:00,15,"time travelers wife"
2006-04-12,19:44:00,16,"time travelers wife a novel"
2006-04-13,14:06:00,1,"time travelers wife a novel"
2006-04-13,14:06:00,4,"time travelers wife a novel"
2006-04-13,18:48:00,11,"time travelers wife a novel"
2006-04-13,10:48:00,14,"time travelers wife"
2006-04-15,11:45:00,10,"time travelers wife"
2006-04-15,11:45:00,12,"time travelers wife"
2006-04-15,11:45:00,13,"time travelers wife"
2006-04-15,14:51:00,21,"time travelers wife a novel"
2006-04-15,14:51:00,23,"time travelers wife a novel"
2006-04-15,11:45:00,38,"time travelers wife"
2006-04-15,11:45:00,39,"time travelers wife"
2006-04-15,17:59:00,100,"time travelers wife a novel"
2006-04-17,19:33:00,35,"time travelers wife a novel"
2006-04-17,19:33:00,37,"time travelers wife a novel"
2006-04-19,12:38:00,50,"time travelers wife a novel"
2006-04-19,12:38:00,51,"time travelers wife a novel"
2006-04-20,14:06:00,19,"time travelers wife a novel"
2006-04-20,15:24:00,19,"time travelers wife"
2006-04-20,15:36:00,33,"time travelers wife a novel"
2006-04-20,17:30:00,40,"time travelers wife"
2006-04-20,17:30:00,40,"time travelers wife"
2006-04-20,14:06:00,43,"time travelers wife a novel"
2006-04-20,14:06:00,53,"time travelers wife a novel"
2006-04-22,10:42:00,32,"time travelers wife a novel"
2006-04-23,13:31:00,6,"time travelers wife a novel"
2006-04-23,13:07:00,41,"time travelers wife a novel"
2006-04-23,13:07:00,52,"time travelers wife a novel"
2006-04-24,17:52:00,7,"time travelers wife"
2006-04-24,17:52:00,8,"time travelers wife"
2006-04-25,17:48:00,26,"time travelers wife a novel"
2006-04-25,19:02:00,38,"time travelers wife a novel"
2006-04-25,15:47:00,40,"time travelers wife a novel"
2006-04-25,19:02:00,40,"time travelers wife a novel"
2006-04-25,15:47:00,41,"time travelers wife a novel"
2006-04-25,15:47:00,43,"time travelers wife a novel"
2006-04-28,11:30:00,26,"time travelers wife a novel"
2006-05-01,16:53:00,35,"time travelers wife a novel"
2006-05-01,16:53:00,38,"time travelers wife a novel"
2006-05-03,14:42:00,19,"time travelers wife"
2006-05-03,14:42:00,51,"time travelers wife"
2006-05-03,14:42:00,53,"time travelers wife"
2006-05-04,12:47:00,18,"time travelers wife a novel"
2006-05-04,12:47:00,19,"time travelers wife a novel"
2006-05-04,15:06:00,22,"time travelers wife"
2006-05-04,15:06:00,25,"time travelers wife"
2006-05-06,13:28:00,30,"time travelers wife a novel"
2006-05-06,12:18:00,32,"time travelers wife"
2006-05-06,13:28:00,52,"time travelers wife a novel"
2006-05-06,13:28:00,53,"time travelers wife a novel"
2006-05-08,17:25:00,13,"time travelers wife a novel"
2006-05-10,17:41:00,15,"time travelers wife a novel"
2006-05-10,15:36:00,20,"time travelers wife a novel"
2006-05-10,15:36:00,21,"time travelers wife a novel"
2006-05-11,10:05:00,12,"time travelers wife a novel"
2006-05-11,19:49:00,19,"time travelers wife a novel"
2006-05-11,10:05:00,20,"time travelers wife a novel"
2006-05-11,10:05:00,21,"time travelers wife a novel"
2006-05-11,19:49:00,25,"time travelers wife a novel"
2006-05-11,10:05:00,33,"time travelers wife a novel"
2006-05-11,10:05:00,34,"time travelers wife a novel"
2006-05-11,10:05:00,47,"time travelers wife a novel"
2006-05-11,10:05:00,61,"time travelers wife a novel"
2006-05-11,10:05:00,62,"time travelers wife a novel"
2006-05-11,10:05:00,63,"time travelers wife a novel"
2006-05-12,10:59:00,19,"time travelers wife"
2006-05-12,10:59:00,24,"time travelers wife"
2006-05-12,10:59:00,25,"time travelers wife"
2006-05-12,17:37:00,26,"time travelers wife a novel"
2006-05-12,10:59:00,39,"time travelers wife"
2006-05-12,10:59:00,42,"time travelers wife"
2006-05-12,10:59:00,45,"time travelers wife"
2006-05-13,14:16:00,17,"time travelers wife a novel"
2006-05-13,14:16:00,19,"time travelers wife a novel"
2006-05-13,17:06:00,605,"time travelers wife"
2006-05-15,19:51:00,20,"time travelers wife a novel"
2006-05-15,19:51:00,28,"time travelers wife a novel"
2006-05-15,19:51:00,29,"time travelers wife a novel"
2006-05-16,14:47:00,24,"time travelers wife"
2006-05-16,14:47:00,29,"time travelers wife"
2006-05-17,18:46:00,3,"time travelers wife"
2006-05-17,15:47:00,20,"time travelers wife a novel"
2006-05-17,16:59:00,21,"time travelers wife a novel"
2006-05-17,15:47:00,22,"time travelers wife a novel"
2006-05-17,16:59:00,23,"time travelers wife a novel"
2006-05-18,17:17:00,9,"time travelers wife a novel"
2006-05-18,13:21:00,12,"time travelers wife a novel"
2006-05-19,17:35:00,12,"time travelers wife a novel"
2006-05-20,14:36:00,38,"time travelers wife"
2006-05-20,14:36:00,41,"time travelers wife"
2006-05-20,14:36:00,50,"time travelers wife"
2006-05-20,14:36:00,51,"time travelers wife"
2006-05-22,16:48:00,4,"time travelers wife a novel"
2006-05-22,17:20:00,8,"time travelers wife"
2006-05-22,17:20:00,22,"time travelers wife"
2006-05-23,15:24:00,22,"time travelers wife a novel"
2006-05-23,15:24:00,25,"time travelers wife a novel"
2006-05-23,15:24:00,26,"time travelers wife a novel"
2006-05-23,15:07:00,26,"time travelers wife a novel"
2006-05-23,15:24:00,38,"time travelers wife a novel"
2006-05-24,09:09:00,16,"time travelers wife a novel"
2006-05-24,19:29:00,18,"time travelers wife a novel"
2006-05-24,09:09:00,20,"time travelers wife a novel"
2006-05-24,09:09:00,21,"time travelers wife a novel"
2006-05-24,16:25:00,26,"time travelers wife"
2006-05-24,16:25:00,27,"time travelers wife"
2006-05-27,11:47:00,24,"time travelers wife a novel"
2006-05-30,15:10:00,7,"time travelers wife a novel"
2006-05-30,16:35:00,10,"time travelers wife a novel"
2006-05-30,13:01:00,15,"time travelers wife a novel"
2006-05-30,15:10:00,15,"time travelers wife a novel"
2006-05-30,16:11:00,15,"time travelers wife a novel"
2006-05-30,15:10:00,16,"time travelers wife a novel"
2006-05-30,16:11:00,21,"time travelers wife a novel"
2006-05-30,16:11:00,21,"time travelers wife a novel"
2006-05-30,13:11:00,29,"time travelers wife a novel"
2006-05-30,15:22:00,30,"time travelers wife"
2006-05-30,13:11:00,30,"time travelers wife a novel"
2006-05-30,15:30:00,30,"time travelers wife a novel"
2006-05-30,15:30:00,32,"time travelers wife a novel"
2006-05-30,15:30:00,34,"time travelers wife a novel"
2006-05-30,15:22:00,38,"time travelers wife"
2006-05-30,15:22:00,50,"time travelers wife"
2006-05-31,16:16:00,7,"time travelers wife a novel"
2006-05-31,18:24:00,9,"time travelers wife"
2006-05-31,18:24:00,11,"time travelers wife"
2006-05-31,11:27:00,23,"time travelers wife a novel"
2006-06-01,10:33:00,13,"time travelers wife"
2006-06-01,10:33:00,15,"time travelers wife"
2006-06-01,10:33:00,17,"time travelers wife"
2006-06-01,16:36:00,21,"time travelers wife a novel"
2006-06-01,17:25:00,25,"time travelers wife a novel"
2006-06-01,16:36:00,26,"time travelers wife a novel"
2006-06-01,10:33:00,32,"time travelers wife"
2006-06-01,16:36:00,34,"time travelers wife a novel"
2006-06-01,10:33:00,35,"time travelers wife"
2006-06-01,17:25:00,49,"time travelers wife a novel"
2006-06-02,13:24:00,13,"time travelers wife a novel"
2006-06-02,13:24:00,18,"time travelers wife a novel"
2006-06-02,17:41:00,19,"time travelers wife a novel"
2006-06-02,17:41:00,23,"time travelers wife a novel"
2006-06-02,13:24:00,35,"time travelers wife a novel"
2006-06-02,13:24:00,46,"time travelers wife a novel"
2006-06-02,16:32:00,80,"time travelers wife a novel"
2006-06-02,16:32:00,80,"time travelers wife a novel"
2006-06-03,10:43:00,21,"time travelers wife a novel"
2006-06-04,16:54:00,19,"time travelers wife a novel"
2006-06-04,16:54:00,21,"time travelers wife a novel"
2006-06-04,16:22:00,22,"time travelers wife a novel"
2006-06-04,16:54:00,22,"time travelers wife a novel"
2006-06-06,11:45:00,2,"time travelers wife a novel"
2006-06-06,11:45:00,5,"time travelers wife a novel"
2006-06-06,11:45:00,12,"time travelers wife a novel"
2006-06-06,19:22:00,17,"time travelers wife a novel"
2006-06-06,19:22:00,21,"time travelers wife a novel"
2006-06-08,18:54:00,24,"time travelers wife a novel"
2006-06-08,18:54:00,31,"time travelers wife a novel"
2006-06-09,16:21:00,14,"time travelers wife a novel"
2006-06-09,16:21:00,16,"time travelers wife a novel"
2006-06-09,16:21:00,17,"time travelers wife a novel"
2006-06-10,12:28:00,27,"time travelers wife a novel"
2006-06-11,15:46:00,11,"time travelers wife a novel"
2006-06-11,15:46:00,16,"time travelers wife a novel"
2006-06-11,15:46:00,17,"time travelers wife a novel"
2006-06-11,16:11:00,19,"time travelers wife a novel"
2006-06-11,16:11:00,21,"time travelers wife a novel"
2006-06-11,16:11:00,33,"time travelers wife a novel"
2006-06-11,16:11:00,34,"time travelers wife a novel"
2006-06-12,19:55:00,28,"time travelers wife"
2006-06-12,19:55:00,30,"time travelers wife"
2006-06-13,19:48:00,1,"time travelers wife"
2006-06-13,15:14:00,24,"time travelers wife a novel"
2006-06-13,15:14:00,31,"time travelers wife a novel"
2006-06-13,15:14:00,34,"time travelers wife a novel"
2006-06-14,13:50:00,21,"time travelers wife"
2006-06-14,13:50:00,21,"time travelers wife"
2006-06-14,18:45:00,22,"time travelers wife a novel"
2006-06-14,18:45:00,24,"time travelers wife a novel"
2006-06-15,11:19:00,23,"time travelers wife a novel"
2006-06-15,11:19:00,27,"time travelers wife a novel"
2006-06-15,11:19:00,28,"time travelers wife a novel"
2006-06-16,13:26:00,25,"time travelers wife a novel"
2006-06-16,13:26:00,26,"time travelers wife a novel"
2006-06-16,13:26:00,26,"time travelers wife a novel"
2006-06-16,16:43:00,26,"time travelers wife a novel"
2006-06-16,16:43:00,27,"time travelers wife a novel"
2006-06-16,13:26:00,40,"time travelers wife a novel"
2006-06-16,13:26:00,40,"time travelers wife a novel"
2006-06-17,11:22:00,21,"time travelers wife a novel"
2006-06-17,11:42:00,21,"time travelers wife a novel"
2006-06-19,12:08:00,21,"time travelers wife"
2006-06-20,16:15:00,16,"time travelers wife a novel"
2006-06-20,16:15:00,21,"time travelers wife a novel"
2006-06-20,13:24:00,22,"time travelers wife a novel"
2006-06-20,13:20:00,29,"time travelers wife a novel"
2006-06-20,13:20:00,33,"time travelers wife a novel"
2006-06-20,13:24:00,51,"time travelers wife a novel"
2006-06-20,13:24:00,57,"time travelers wife a novel"
2006-06-21,16:02:00,21,"time travelers wife a novel"
2006-06-21,16:02:00,90,"time travelers wife a novel"
2006-06-22,18:04:00,26,"time travelers wife a novel"
2006-06-23,13:50:00,18,"time travelers wife"
2006-06-24,13:06:00,4,"time travelers wife a novel"
2006-06-24,13:06:00,5,"time travelers wife a novel"
2006-06-26,16:51:00,3,"time travelers wife"
2006-06-26,16:51:00,6,"time travelers wife"
2006-06-26,16:51:00,29,"time travelers wife"
2006-06-26,16:51:00,41,"time travelers wife"
2006-06-28,15:43:00,23,"time travelers wife a novel"
2006-06-28,15:43:00,29,"time travelers wife a novel"
2006-06-29,17:15:00,18,"time travelers wife a novel"
2006-06-29,17:15:00,19,"time travelers wife a novel"
2006-06-29,19:12:00,33,"time travelers wife a novel"
2006-06-30,14:04:00,31,"time travelers wife a novel"
2006-07-01,12:47:00,13,"time travelers wife a novel"
2006-07-01,12:47:00,17,"time travelers wife a novel"
